"","common_ccusips","earnings_2012","earnings_2013","earnings_2014","earnings_2015","earnings_avg_chg","ep_2015","mktcap_2015"
"97","701094104",1151.823,948.427,1041.048,1012.14,-0.0355656139536612,0.0627399867332333,16132.29541
"98","74018R105",0.401,0.593,0.971,0.647,0.260854377568513,0.0508430356828526,12.72544
"101","743868101",10.81,25.797,6.606,9.803,0.375477249760217,0.0671640492350917,145.95606
"104","761152107",254.85,307.133,345.273,352.886,0.117127332923499,0.0444229705180126,7943.77314
"106","800422107",17.122,21.76,26.287,29.305,0.197910483753235,0.0661175111568365,443.226
"108","806037107",74.288,34.662,81.789,65.419,0.208685347580517,0.0600572563163904,1089.2772
"109","83084V106",1421.152,1489.059,1479.583,3077.774,0.373860814215265,0.0274453789023211,112141.793012
"110","843380106",10.098,10.067,10.081,13.668,0.118046214267969,0.0977214067649982,139.867
"112","847235108",9.508,13.638,12.987,10.989,0.0775968767397848,0.0405885768401706,270.7412
"113","854231107",30.905,44.848,42.866,54.743,0.22801192934554,0.053603097435152,1021.26561
"114","863111100",8.793,9.375,16.424,20.654,0.358544091419308,0.0838139018102326,246.4269
"117","87157D109",54.144,98.933,46.689,110.4,0.554576038137899,0.0345580627290943,3194.62352
"118","87160G107",5.586,2.559,3.063,4.478,0.0390089624559441,0.0362553634134643,123.51276
"120","872625108",33.575,36.275,12.051,19.415,0.00789962169916662,0.062853083224572,308.89495
"122","885160101",121.739,152.862,179.002,199.385,0.180175878770713,0.0680998633596743,2927.8326
"123","891894107",260.213,318.812,359.3,384.978,0.141219832268049,0.0441452709640213,8720.7076
"125","901476101",26.112,3.882,3.644,11.173,0.384498263253187,0.0531957642212136,210.03552
"126","902104108",60.306,50.813,38.449,65.975,0.105057323842385,0.056921535317934,1159.05166
"127","90347A100",102.589,80.49,176.937,129.663,0.238551809138748,0.0461672078438329,2808.551915
"128","904677200",11.491,16.635,28.823,42.151,0.547578418813212,0.0691302019652848,609.7335
"129","904708104",94.989,116.685,119.925,124.299,0.0975484183271575,0.075204248334872,1652.81886
"130","90984R101",1.989,2.567,2.28,2.536,0.097025110163527,0.0396534327504518,63.95411
"131","911163103",91.342,107.854,125.482,138.734,0.149941037816977,0.0608347274972197,2280.50664
"134","929236107",35.485,39.813,43.746,44.807,0.0816691675974474,0.0369321400137181,1213.22512
"135","929358109",1.402,1.08,0.92,1.347,0.0287701297816246,0.0559211209133368,24.0875
"136","938824109",138.183,151.505,157.364,160.316,0.0512798108142182,0.0749809233987055,2138.0905
"137","958102105",1612,980,1617,1465,0.0546464032639148,0.0809029362334035,18108.11904
"138","974637100",44.972,31.953,45.053,41.21,0.0117287929499269,0.0747088078729487,551.60832
"139","G1151C101",2553.51,3281.878,2941.498,3053.581,0.0732103100427655,0.0518988100258455,58837.20645
"140","G45667105",56.222,51.994,69.62,96.527,0.2167608482284,0.0689614785126094,1399.72347
"143","N20146101",43.994,29.435,43.696,92.212,0.421289113631444,0.0334006494617414,2760.78464
